closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
         Sancus Sachet +1 |          0 |           Wardrobe 2 |                                                                                          |                                             sancus sachet +1
            Amanomurakumo |          0 |           Wardrobe 2 |                                                                                          |                                                Amanomurakumo
           Smn. Collar +2 |          0 |           Wardrobe 5 |                                                                                          |                                         summoner's collar +2
             Suzaku Scrap |          0 |              Satchel |                                                                                          |                                         seal of Suzaku scrap
          An. Jackcoat +3 |          0 |                 Safe |                                                                                          |                                           ankusa jackcoat +3
        Aya. Gambieras +2 |          0 |           Wardrobe 7 |                                                                                          |                                          ayanmo gambieras +2
         Rev. Leggings +3 |          0 |           Wardrobe 8 |                                                                                          |                                        reverence leggings +3
           Passion Jacket |          0 |           Wardrobe 8 |                                                                                          |                                               passion jacket
               Enki Strap |          0 |           Wardrobe 2 |                                                                                          |                                                   Enki strap
           Esthete's Hose |          0 |               Safe 2 |                                                                                          |                                               esthete's hose
           Mummu Kecks +2 |          0 |           Wardrobe 7 |                                                                                          |                                               Mummu kecks +2
          Eluder's Sachet |          0 |           Wardrobe 3 |                                                                                          |                                              eluder's sachet
          Heyoka Subligar |          0 |             Wardrobe |                                                                                          |                                              Heyoka subligar
              Jhakri Ring |          0 |           Wardrobe 5 |                                                                                          |                                                  jhakri ring
           Patricius Ring |          0 |           Wardrobe 4 |                                                                                          |                                               patricius ring
               Nyame Helm |          0 |             Wardrobe |                                                                                          |                                                   Nyame helm
      Chasseur's Gants +2 |          0 |                 Case |                                                                                          |                                          chasseur's gants +2
         Gleti's Breeches |          0 |            Inventory |                                                                                          |                                             Gleti's breeches
        Foire Dastanas +3 |          0 |           Wardrobe 8 |                                                                                          |                                            foire dastanas +3
           Meg. Cuirie +2 |          0 |           Wardrobe 8 |                                                                                          |                                          meghanada cuirie +2
        Pumm. Calligae +3 |          0 |             Wardrobe |                                                                                          |                                       pummeler's calligae +3
            Mpaca's Boots |          0 |           Wardrobe 3 |                                                                                          |                                                Mpaca's boots
                  Firangi |          0 |               Locker |                                                                                          |                                                      Firangi
          Bathy Choker +1 |          0 |           Wardrobe 5 |                                                                                          |                                              bathy choker +1
           Leyline Gloves |          0 |           Wardrobe 6 |                                                                                          |                                               leyline gloves
          Sakonji Kote +3 |          0 |           Wardrobe 3 |                                                                                          |                                              sakonji kote +3
        Gazu Bracelets +1 |          0 |              Satchel |                                                                                          |                                            gazu bracelets +1
         Evanescence Ring |          0 |           Wardrobe 4 |                                                                                          |                                             evanescence ring
                 Norifusa |          0 |               Safe 2 |                                                                                          |                                                     Norifusa
      Souv. Diechlings +1 |          0 |           Wardrobe 7 |                                                                                          |                                       souveran diechlings +1
           Founder's Hose |          0 |             Wardrobe |                                                                                          |                                               founder's hose
       Fili Manchettes +1 |          0 |           Wardrobe 7 |                                                                                          |                                           fili manchettes +1
              Alber Strap |          0 |           Wardrobe 3 |                                                                                          |                                                  alber strap
            Memorial Cake |          0 |               Safe 2 |                                                                                          |                                                memorial cake
        Souv. Handsch. +1 |          0 |             Wardrobe |                                                                                          |                                       souveran handschuhs +1
       Odyssean Gauntlets |          0 |   Safe 2, Wardrobe 8 |                                                                                          |                                           odyssean gauntlets
        Incanter's Torque |          0 |           Wardrobe 5 |                                                                                          |                                            incanter's torque
            Abdhaljs Seal |          0 |              Satchel |                                                                                          |                                                Abdhaljs seal
       Flam. Manopolas +2 |          0 |           Wardrobe 3 |                                                                                          |                                          flamma manopolas +2
         Artemis's Bow +1 |          0 |               Safe 2 |                                                                                          |                                             Artemis's bow +1
         Kyrene's Earring |          0 |           Wardrobe 3 |                                                                                          |                                             Kyrene's earring
       Souveran Schuhs +1 |          0 |           Wardrobe 7 |                                                                                          |                                           souveran schuhs +1
            Audumbla Sash |          0 |           Wardrobe 3 |                                                                                          |                                                Audumbla sash
             Mavi Tathlum |          0 |                 Case |                                                                                          |                                                 mavi tathlum
                 Rao Kote |          0 |                 Safe |                                                                                          |                                                     rao kote
